c-fyns,, ,28 Feb 2024,Toronto (YYZ),Denver (DEN),AC1039,3:03,08:15,08:49,10:09,,Landed 09:51,KML CSV Play, 
c-fyns,, ,28 Feb 2024,Halifax (YHZ),Toronto (YYZ),AC601,2:16,05:00,05:17,06:42,,Landed 06:34,KML CSV Play, 
c-fyns,, ,27 Feb 2024,Toronto (YYZ),Halifax (YHZ),AC612,1:44,14:50,15:13,17:53,,Landed 17:57,KML CSV Play, 
c-fyns,, ,27 Feb 2024,Halifax (YHZ),Toronto (YYZ),AC609,1:59,12:10,12:23,13:44,,Landed 13:22,KML CSV Play, 
c-fyns,, ,27 Feb 2024,Toronto (YYZ),Halifax (YHZ),AC604,1:40,08:00,08:12,11:07,,Landed 10:52,KML CSV Play, 
c-fyns,, ,27 Feb 2024,Halifax (YHZ),Toronto (YYZ),AC601,2:08,05:00,05:37,06:42,,Landed 06:44,KML CSV Play, 
c-fyns,, ,26 Feb 2024,Toronto (YYZ),Halifax (YHZ),AC620,1:37,21:40,23:10,00:47,,Landed 01:48,KML CSV Play, 
c-fyns,, ,26 Feb 2024,West Palm Beach (PBI),Toronto (YYZ),AC1237,2:44,14:50,18:50,18:04,,Landed 21:34,KML CSV Play, 
c-fyns,, ,26 Feb 2024,Montreal (YUL),Toronto (YYZ),AC409,1:01,11:10,11:48,12:46,,Landed 12:50,KML CSV Play, 
c-fyns,, ,26 Feb 2024,Toronto (YYZ),West Palm Beach (PBI),AC1236,2:30,10:35,14:22,13:51,,Landed 16:53,KML CSV Play, 
c-fyns,, ,26 Feb 2024,Toronto (YYZ),Montreal (YUL),AC404,0:55,09:00,09:15,10:20,,Landed 10:10,KML CSV Play, 
c-fyns,, ,26 Feb 2024,Halifax (YHZ),Toronto (YYZ),AC601,2:14,05:00,05:18,06:42,,Landed 06:32,KML CSV Play, 
c-fyns,, ,25 Feb 2024,Toronto (YYZ),Halifax (YHZ),AC620,1:42,21:40,21:52,00:47,,Landed 00:34,KML CSV Play, 
c-fyns,, ,25 Feb 2024,Calgary (YYC),Toronto (YYZ),AC2148,3:07,13:10,13:32,18:25,,Landed 18:39,KML CSV Play, 
c-fyns,, ,25 Feb 2024,Toronto (YYZ),Calgary (YYC),AC2135,3:59,09:50,10:18,12:11,,Landed 12:17,KML CSV Play, 
c-fyns,, ,25 Feb 2024,St. John's (YYT),Toronto (YYZ),AC685,3:04,05:00,06:49,07:26,,Landed 08:23,KML CSV Play, 
c-fyns,, ,24 Feb 2024,Toronto (YYZ),St. John's (YYT),AC698,2:37,22:40,01:05,03:14,,Landed 05:12,KML CSV Play, 
c-fyns,, ,24 Feb 2024,San Diego (SAN),Toronto (YYZ),AC1094,3:55,12:40,14:06,20:20,,Landed 21:01,KML CSV Play, 
c-fyns,, ,24 Feb 2024,Toronto (YYZ),San Diego (SAN),AC1093,5:06,09:00,10:29,11:40,,Landed 12:34,KML CSV Play, 
c-fyns,, ,24 Feb 2024,Ottawa (YOW),Toronto (YYZ),AC439,0:44,06:00,06:55,07:21,,Landed 07:39,KML CSV Play, 
c-fyns,, ,23 Feb 2024,Toronto (YYZ),Ottawa (YOW),AC470,0:37,22:10,22:36,23:15,,Landed 23:13,KML CSV Play, 
c-fyns,, ,23 Feb 2024,San Diego (SAN),Toronto (YYZ),AC1094,4:10,12:40,13:09,20:20,,Landed 20:19,KML CSV Play, 
c-fyns,, ,23 Feb 2024,Toronto (YYZ),San Diego (SAN),AC1093,5:07,09:00,09:32,11:40,,Landed 11:38,KML CSV Play, 
c-fyns,, ,22 Feb 2024,Halifax (YHZ),Toronto (YYZ),AC619,1:57,18:55,18:54,20:37,,Landed 19:51,KML CSV Play, 
c-fyns,, ,22 Feb 2024,Toronto (YYZ),Halifax (YHZ),AC612,1:36,14:50,15:02,17:53,,Landed 17:38,KML CSV Play, 
c-fyns,, ,22 Feb 2024,Montreal (YUL),Toronto (YYZ),AC409,0:55,11:10,12:00,12:46,,Landed 12:55,KML CSV Play, 
c-fyns,, ,22 Feb 2024,Toronto (YYZ),Montreal (YUL),AC404,0:51,09:00,09:47,10:20,,Landed 10:37,KML CSV Play, 
c-fyns,, ,21 Feb 2024,Halifax (YHZ),Toronto (YYZ),AC619,1:58,18:55,19:19,20:37,,Landed 20:17,KML CSV Play, 
c-fyns,, ,21 Feb 2024,Toronto (YYZ),Halifax (YHZ),AC612,1:43,14:50,15:01,17:53,,Landed 17:44,KML CSV Play, 
c-fyns,, ,21 Feb 2024,Thunder Bay (YQT),Toronto (YYZ),AC2112,1:15,10:40,10:49,12:05,,Landed 12:04,KML CSV Play, 
c-fyns,, ,21 Feb 2024,Toronto (YYZ),Thunder Bay (YQT),AC2111,1:19,07:45,08:15,09:15,,Landed 09:34,KML CSV Play, 
c-fyns,, ,20 Feb 2024,Miami (MIA),Toronto (YYZ),AC1201,2:47,11:30,11:51,14:50,,Landed 14:39,KML CSV Play, 
c-fyns,, ,20 Feb 2024,Toronto (YYZ),Miami (MIA),AC1198,2:38,07:00,07:43,10:25,,Landed 10:21,KML CSV Play, 
c-fyns,, ,19 Feb 2024,Chicago (ORD),Toronto (YYZ),AC510,1:04,20:35,20:58,23:08,,Landed 23:02,KML CSV Play, 
c-fyns,, ,19 Feb 2024,Toronto (YYZ),Chicago (ORD),AC509,1:13,18:35,18:47,19:37,,Landed 19:00,KML CSV Play, 
c-fyns,, ,19 Feb 2024,Miami (MIA),Toronto (YYZ),AC1201,2:37,11:30,12:36,14:50,,Landed 15:13,KML CSV Play, 
c-fyns,, ,19 Feb 2024,Toronto (YYZ),Miami (MIA),AC1198,3:12,07:00,07:36,10:25,,Landed 10:49,KML CSV Play, 
c-fyns,, ,18 Feb 2024,Miami (MIA),Toronto (YYZ),AC1205,2:24,21:00,21:44,00:20,,Landed 00:08,KML CSV Play, 
c-fyns,, ,18 Feb 2024,Toronto (YYZ),Miami (MIA),AC1202,2:55,16:25,17:01,19:50,,Landed 19:56,KML CSV Play, 
c-fyns,, ,18 Feb 2024,Miami (MIA),Toronto (YYZ),AC1201,2:30,11:30,11:45,14:50,,Landed 14:15,KML CSV Play, 
c-fyns,, ,18 Feb 2024,Toronto (YYZ),Miami (MIA),AC1198,2:58,07:00,07:21,10:25,,Landed 10:19,KML CSV Play, 
c-fyns,, ,17 Feb 2024,Miami (MIA),Toronto (YYZ),AC1205,2:33,21:00,21:32,00:20,,Landed 00:05,KML CSV Play, 
c-fyns,, ,17 Feb 2024,Toronto (YYZ),Miami (MIA),AC1202,3:00,16:25,16:51,19:50,,Landed 19:51,KML CSV Play, 
c-fyns,, ,17 Feb 2024,Miami (MIA),Toronto (YYZ),AC1201,2:35,11:30,11:54,14:50,,Landed 14:29,KML CSV Play, 
c-fyns,, ,17 Feb 2024,Toronto (YYZ),Miami (MIA),AC1198,2:53,07:00,07:31,10:25,,Landed 10:24,KML CSV Play, 
c-fyns,, ,16 Feb 2024,Miami (MIA),Toronto (YYZ),AC1205,2:46,21:00,21:19,00:20,,Landed 00:04,KML CSV Play, 
c-fyns,, ,16 Feb 2024,Toronto (YYZ),Miami (MIA),AC1202,2:46,16:25,16:58,19:50,,Landed 19:44,KML CSV Play, 
c-fyns,, ,16 Feb 2024,Miami (MIA),Toronto (YYZ),AC1201,2:48,11:30,11:53,14:50,,Landed 14:41,KML CSV Play, 
c-fyns,, ,16 Feb 2024,Toronto (YYZ),Miami (MIA),AC1198,2:37,07:00,07:46,10:25,,Landed 10:23,KML CSV Play, 
c-fyns,, ,15 Feb 2024,Miami (MIA),Toronto (YYZ),AC1205,2:58,21:00,23:20,00:20,,Landed 02:18,KML CSV Play, 
c-fyns,, ,15 Feb 2024,Toronto (YYZ),Miami (MIA),AC1198,2:41,07:00,07:29,10:25,,Landed 10:10,KML CSV Play, 
