40018,B738,B-4082,China - Air Force,Nov 2012 (11 years),
38609,B788,G-ZBJA,British Airways,Jun 2013 (10 years),
0898,AT75,PK-WFJ,Wings Air,Jan 2010 (14 years),
4130,DH8D,C-GLQB,Porter,Jun 2006 (17 years),
1455,A332,N289AY,American Airlines,Aug 2013 (10 years),
44653,B38M,OO-TMZ,TUI fly,Aug 2021 (2 years),
64241,B779,N779XX,Boeing,Apr 2020 (3 years),
19000674,E190,G-LCYU,British Airways,Jul 2014 (9 years),
390,A359,D-AIXP,Lufthansa,Jan 2020 (4 years),
39215,B738,B-1997,Hainan Airlines,Aug 2014 (9 years),
29694,B763,N1602,Delta Air Lines,Jan 1999 (25 years),
7530,CRJ2,N870AS,United Express,Jun 2001 (22 years),
50040,BCS1,N121DU,Delta Air Lines,Jul 2019 (4 years),
0422,A332,F-GZCA,Air France,Aug 2001 (22 years),
10141,A21N,N424AN,American Airlines,Aug 2020 (3 years),
28285,B744,D-ABVR,Lufthansa,Mar 1997 (27 years),
111899,A21N,N576DN,Delta Air Lines,Mar 2024 (Brand new),
42709,B763,N106FE,FedEx,Aug 2014 (9 years),
35382,B737,B-5252,China Southern Airlines,Sep 2009 (14 years),
38508,B738,G-RUKN,Ryanair,Mar 2010 (14 years),
19000716,E190,LV-GIQ,Aerolineas Argentinas,Jun 2016 (7 years),
35690,B738,N506AS,Alaska Airlines,May 2008 (15 years),
66584,B77W,G-STBO,British Airways,Nov 2020 (3 years),
10273,A21N,RP-C4126,Cebu Pacific,Apr 2021 (2 years),
34177,B738,G-RUKF,Ryanair,Mar 2006 (18 years),
39905,B738,B-1706,Xiamen Air,Aug 2014 (9 years),
37296,B739,PK-LJZ,Lion Air,Jul 2012 (11 years),
19000769,E190,F-HBLN,Air France,Aug 2019 (4 years),
66523,B789,JA936A,All Nippon Airways,Apr 2021 (2 years),
4354,DH8D,RA-67256,Aurora,Dec 2010 (13 years),
0445,AT45,LY-DAT,DAT,Nov 1994 (29 years),
25978,B752,N673DL,Delta Air Lines,Feb 1992 (32 years),
7930,CRJ2,N8930E,Delta Connection,Apr 2004 (19 years),
40056,B78X,HZ-AR33,Saudia,Aug 2023 (Brand new),
17000173,E75S,N111HQ,American Airlines,Jun 2007 (16 years),
10554,A20N,B-324J,Air China,May 2021 (2 years),
61219,B38M,C-FSKZ,Air Canada,Apr 2018 (5 years),
08816,A21N,HA-LVC,Wizz Air,May 2019 (4 years),
55065,BCS3,VP-BMZ,Private owner,Nov 2019 (4 years),
0709,A332,SU-GCJ,Egyptair Cargo,Nov 2005 (18 years),
0443,AT45,ZS-XCG,Solenta Aviation,Sep 1994 (29 years),
153,A388,A6-EEW,Emirates,Jan 2014 (10 years),
4336,DH8D,VT-SJU,SpiceJet,2010 (14 years),
38153,B738,B-5662,Hainan Airlines,May 2012 (11 years),
09208,A21N,B-58201,Starlux,Oct 2019 (4 years),
10909,A21N,VT-IMX,IndiGo,Nov 2022 (1 year),
10204,CRJ7,B-4063,Private owner,2005 (19 years),
65076,B38M,EI-HAT,Ryanair,Jan 2019 (5 years),
1342,AT76,PR-AKI,Azul Linhas Aereas,2016 (8 years),
64296,B38M,SP-EXB,Enter Air,Dec 2018 (5 years),
07359,A20N,TC-NBG,Pegasus,Nov 2016 (7 years),
40876,B738,PH-HBK,Transavia,Jun 2010 (13 years),
33886,B738,JA51AN,All Nippon Airways,May 2008 (15 years),
0629,AT45,N801HC,Ohana by Hawaiian,Jul 2004 (19 years),
26633,B752,NZ7571,New Zealand - Royal New Zealand Air Force,Jan 1993 (31 years),
19000287,E190,XA-ALQ,Aeromexico Connect,Oct 2009 (14 years),
145144,E145,XA-ACA,Aeromexico Connect,N/A,
26983,B763,D-ABUD,Condor,Dec 1992 (31 years),
24998,B744,G-ONEE,One Air,Feb 1991 (33 years),
67796,B77L,B-222N,China Cargo Airlines,Oct 2022 (1 year),
0707,AT75,I-ADLW,Mistral Air,Mar 2004 (19 years),
8058,CRJ2,N821FL,IFL Group,2005 (19 years),
37507,B788,N785AV,Avianca,Sep 2015 (8 years),
7479,CRJ2,N869AS,SkyWest Airlines,Feb 2001 (23 years),
0833,AT75,TR-ATR,Afrijet,Nov 2008 (15 years),
4353,DH8D,N443QX,Alaska Horizon,Jan 2011 (13 years),
19000126,E190,VH-UYU,Alliance Airlines,2007 (17 years),
1012,AT46,V2-LIK,LIAT,Jul 2014 (9 years),
27983,B738,TC-TLG,Tailwind Airlines,Feb 1999 (25 years),
606,AT45,OY-YAA,Private owner,Feb 2000 (24 years),
19000692,E195,N198BZ,Breeze Airways,2015 (9 years),
17000564,E75S,PH-EXH,KLM,May 2016 (7 years),
126,DH8A,N930HA,Avmax,Nov 1988 (35 years),
62146,B789,EC-ODH,Air Europa,Mar 2020 (4 years),
40304,B738,EI-ENP,Ryanair,Jan 2011 (13 years),
23982,B744,PH-BFC,KLM,Jun 1989 (34 years),
145291,E145,N13994,ExpressJet Airlines,Jun 2000 (23 years),
7098,CRJ1,N271AV,Avmax,1996 (28 years),
10194,A20N,B-321A,Juneyao Air,Nov 2020 (3 years),
08984,A21N,G-NEOW,British Airways,Oct 2019 (4 years),
30542,B737,N560WN,Southwest Airlines,Mar 2000 (24 years),
19046,CRJX,EC-MJP,Iberia,Mar 2016 (8 years),
10634,A21N,UK32102,Uzbekistan Airways,Mar 2022 (2 years),
19020063,E295,PH-NXH,KLM,Feb 2022 (2 years),
049,A359,B-18901,China Airlines,Sep 2016 (7 years),
66073,B789,VH-ZNI,Qantas,Oct 2019 (4 years),
07755,A20N,SE-ROD,SAS,Jul 2017 (6 years),
4467,DH8D,C-FKWE,WestJet,Mar 2014 (10 years),
09226,A21N,HL8371,Asiana Airlines,Mar 2020 (4 years),
08508,A21N,G-UZMF,easyJet,May 2019 (4 years),
24119,B752,N978FD,FedEx,Mar 1988 (36 years),
7675,CRJ2,N479CA,United Airlines,Aug 2002 (21 years),
09153,A20N,VT-TNL,Vistara,Oct 2019 (4 years),
11335,A21N,RP-C4133,Cebu Pacific,Jun 2023 (Brand new),
35808,B748,LX-VCA,Cargolux,Feb 2010 (14 years),
11227,A21N,B-32DS,Shenzhen Airlines,May 2023 (Brand new),
44835,B738,SP-RSS,Ryanair,Apr 2018 (5 years),
19020069,E295,C-GKQJ,Porter,Aug 2022 (1 year),
1662,AT76,VT-IRF,IndiGo,Dec 2022 (1 year),
15254,CRJ9,D-ACNN,Lufthansa,Feb 2010 (14 years),
40794,B77W,TC-JJM,Turkish Airlines,Mar 2011 (13 years),
15385,CRJ9,N582NN,American Airlines,Nov 2015 (8 years),
383,A359,VQ-BFY,Aeroflot,Feb 2020 (4 years),
28040,B763,G-DHLL,DHL,May 1996 (27 years),
26876,B744,HS-STA,Orient Thai Airlines,Sep 1992 (31 years),
11528,A21N,HL8531,Korean Air,Sep 2023 (Brand new),
0469,A332,EC-MTU,Wamos Air,Mar 2002 (22 years),
65430,B789,B-20EC,Juneyao Air,Feb 2020 (4 years),
60087,B739,N69835,United Airlines,Sep 2014 (9 years),
44212,B39M,HP-9911CMP,Copa Airlines,Oct 2019 (4 years),
34900,B738,RA-73188,Rossiya,Jan 2007 (17 years),
07875,A20N,9H-NEO,Air Malta,May 2018 (5 years),
1263,A333,HS-TBA,Thai Airways,Oct 2011 (12 years),
35181,B738,N565AS,Alaska Airlines,Dec 2006 (17 years),
60749,B738,7T-VKM,Air Algerie,Apr 2016 (7 years),
60975,B38M,A6-FMW,FlyDubai,Dec 2021 (2 years),
17000263,E170,F-HBXC,Air France,Nov 2008 (15 years),
10457,A21N,HL8398,Asiana Airlines,May 2021 (2 years),
10321,A21N,B-324C,Juneyao Air,Jun 2021 (2 years),
41082,B77W,A6-ENA,Emirates,Sep 2012 (11 years),
36660,B737,N945WN,Southwest Airlines,Mar 2010 (14 years),
145373,E145,Z-WPQ,Air Zimbabwe,N/A,
62575,B738,B-1130,Hainan Airlines,Jul 2018 (5 years),
44729,B738,SP-RKB,Ryanair,Mar 2016 (8 years),
09291,A20N,B-30CV,Shenzhen Airlines,Dec 2019 (4 years),
24390,B752,N650DL,Delta Air Lines,May 1989 (34 years),
00791,A320,B-22310,TransAsia Airways,Feb 1998 (26 years),
55263,BCS3,N3157J,JetBlue Airways,Jan 2024 (Brand new),
63591,B738,N8579Z,Southwest Airlines,Jun 2018 (5 years),
10452,A20N,N374FR,Frontier,Apr 2021 (2 years),
22785,B762,N767AX,ABX Air,Apr 1983 (40 years),
08505,A20N,G-UZHR,easyJet,Nov 2018 (5 years),
37088,B737,RA-73267,Alrosa,Oct 2009 (14 years),
013,SB20,ES-NSE,Nyxair,Feb 1995 (29 years),
29987,B739,HL7569,Korean Air,Oct 2001 (22 years),
7881,CRJ2,N970SW,United Airlines,Dec 2003 (20 years),
09114,A20N,TC-NCD,Pegasus,Jul 2019 (4 years),
43973,B38M,C-FLBG,Flair Airlines,Mar 2019 (5 years),
38040,B738,PK-GFU,Garuda Indonesia,May 2013 (10 years),
67790,B39M,5H-TCP,Air Tanzania,Sep 2023 (Brand new),
19000274,E190,B-3152,Tianjin Airlines,2009 (15 years),
7101,CRJ1,N412SW,SkyWest Airlines,1995 (29 years),
10611,A21N,TC-RBL,Pegasus,Mar 2022 (2 years),
32801,B738,B-5130,China Postal Airlines,Feb 2005 (19 years),
37870,B763,N359UP,UPS,Jun 2013 (10 years),
17000322,E170,JA220J,J-Air,2011 (13 years),
36747,B738,B-5485,Beijing Airlines,Dec 2009 (14 years),
30395,B752,N6707A,Delta Air Lines,May 2000 (23 years),
1373,A333,B-5906,Air China,Dec 2012 (11 years),
7593,CRJ2,N415AW,American Airlines,Nov 2001 (22 years),
1028,A332,B-8550,Capital Airlines,Jun 2009 (14 years),
340B-401,SF34,VH-ZRY,Rex,Aug 1996 (27 years),
145124,E145,N628AE,American Eagle,Mar 1999 (25 years),
29216,B752,B-2853,YTO Cargo Airlines,Jun 1998 (25 years),
38937,B738,B-5716,China Southern Airlines,Dec 2012 (11 years),
1483,A333,TC-LOA,Turkish Airlines,Dec 2013 (10 years),
145541,E135,N814AE,,2001 (23 years),
28773,B738,N27213,United Airlines,Jun 1998 (25 years),
7108,CRJ1,VQ-BNY,Rusline,Feb 1996 (28 years),
4261,DH8D,C-FFZX,Conair,May 2009 (14 years),
4065,DH8D,5Y-FMA,748 Air Services,2002 (22 years),
10733,A21N,VT-IMM,IndiGo,Apr 2022 (1 year),
26271,B752,RA-73075,Azur Air,Jan 1994 (30 years),
32005,B739,N899DN,Delta Air Lines,Jun 2018 (5 years),
60036,B38M,TC-LCE,Turkish Airlines,Nov 2018 (5 years),
27640,B772,N815KW,Private owner,Jun 1998 (25 years),
17000890,E75L,N509SY,American Airlines,Sep 2021 (2 years),
