aae,8:25 AM,FR8350,Milan (BGY),Ryanair,B38M (EI-IHZ),,Departed 8:31 AM,Monday Mar 18,departures
aae,8:30 AM,ZB5001,Dusseldorf (DUS),Air Albania,319,,Unknown,Monday Mar 18,departures
aae,9:00 AM,FR8400,Venice (TSF),Ryanair,B738 (9H-QCF),,Departed 9:03 AM,Monday Mar 18,departures
aae,9:25 AM,TB2952,Brussels (BRU),TUI,E295 (OO-ETC),,Departed 9:32 AM,Monday Mar 18,departures
aae,9:50 AM,A3971,Athens (ATH),Aegean Airlines,A20N (SX-NEG),,Departed 9:55 AM,Monday Mar 18,departures
aae,10:15 AM,FR8299,Brussels (CRL),Ryanair,B738 (EI-EBK),,Departed 10:32 AM,Monday Mar 18,departures
aae,10:35 AM,RK8289,London (STN),Ryanair,B738 (G-RUKD),,Departed 10:36 AM,Monday Mar 18,departures
aae,11:15 AM,W43853,Pisa (PSA),Wizz Air,A321 (HA-LXY),,Departed 11:20 AM,Monday Mar 18,departures
aae,11:15 AM,W43877,Bologna (BLQ),Wizz Air,A321 (HA-LXB),,Departed 11:22 AM,Monday Mar 18,departures
aae,11:15 AM,W43885,Milan (BGY),Wizz Air,A321 (HA-LXE),,Departed 11:25 AM,Monday Mar 18,departures
aae,11:20 AM,MDF9033,Athens (ATH),Swiftair,E120 (SX-AQI),,Departed 11:43 AM,Monday Mar 18,departures
aae,11:30 AM,2B353,Bari (BRI),Albawings,737,,Unknown,Monday Mar 18,departures
aae,11:35 AM,W46601,Bari (BRI),Wizz Air,A321 (HA-LXR),,Departed 11:40 AM,Monday Mar 18,departures
aae,11:50 AM,W44809,Venice (TSF),Wizz Air,A321 (HA-LXA),,Departed 12:00 PM,Monday Mar 18,departures
aae,12:00 PM,2B229,Bologna (BLQ),Albawings,737,,Unknown,Monday Mar 18,departures
aae,12:05 PM,2B235,Verona (VRN),Albawings,737,,Unknown,Monday Mar 18,departures
aae,12:10 PM,W46631,Prague (PRG),Wizz Air,A321 (HA-LXV),,Departed 12:13 PM,Monday Mar 18,departures
aae,12:15 PM,FR8320,Rome (CIA),Ryanair,B738 (9H-QBW),,Departed 12:28 PM,Monday Mar 18,departures
aae,12:25 PM,W45100,Krakow (KRK),Wizz Air,A320 (9H-WDC),,Departed 12:47 PM,Monday Mar 18,departures
aae,12:30 PM,W46633,Paris (BVA),Wizz Air,A21N (HA-LZK),,Departed 12:35 PM,Monday Mar 18,departures
aae,12:40 PM,ZB1010,Istanbul (IST),Air Albania,320,,Canceled,Monday Mar 18,departures
aae,12:50 PM,ZB2003,Milan (MXP),Air Albania,A320 (ZA-MMK),,Estimated dep. 1:08 PM,Monday Mar 18,departures
aae,12:55 PM,W46605,Catania (CTA),Wizz Air,A21N (9H-WDR),,Estimated dep. 1:09 PM,Monday Mar 18,departures
aae,1:30 PM,LO598,Warsaw (WAW),LOT,E75S (SP-LIC),,Estimated dep. 1:38 PM,Monday Mar 18,departures
aae,1:35 PM,BA381,London (LHR),Finnair,A320 (OH-LXH),,Estimated dep. 1:35 PM,Monday Mar 18,departures
aae,1:35 PM,W44813,Athens (ATH),Wizz Air,A321 (HA-LXK),,Estimated dep. 1:49 PM,Monday Mar 18,departures
aae,2:10 PM,LH1425,Frankfurt (FRA),Lufthansa,A320 (D-AIUD),,Estimated dep. 2:25 PM,Monday Mar 18,departures
aae,2:20 PM,W46635,Basel (BSL),Wizz Air,A320 (HA-LYK),,Estimated dep. 2:35 PM,Monday Mar 18,departures
aae,3:00 PM,JU213,Belgrade (BEG),AirSERBIA,A319 (YU-APF),,Estimated dep. 3:10 PM,Monday Mar 18,departures
aae,3:00 PM,OS848,Vienna (VIE),Austrian Airlines,A320 (OE-LZE),,Estimated dep. 3:08 PM,Monday Mar 18,departures
aae,3:25 PM,W43869,Milan (BGY),Wizz Air,A321 (HA-LXR),,Estimated dep. 3:39 PM,Monday Mar 18,departures
aae,4:05 PM,PC284,Istanbul (SAW),Pegasus,A20N (TC-NBA),,Estimated dep. 4:05 PM,Monday Mar 18,departures
aae,4:05 PM,W46637,Genoa (GOA),Wizz Air,A321 (HA-LXB),,Estimated dep. 4:19 PM,Monday Mar 18,departures
aae,4:05 PM,MDF9031,Athens (ATH),Swiftair,E120 (SX-AQI),,Estimated dep. 5:03 PM,Monday Mar 18,departures
aae,4:15 PM,W43887,Rome (FCO),Wizz Air,A321 (HA-LXY),,Estimated dep. 4:29 PM,Monday Mar 18,departures
aae,4:25 PM,W46688,Catania (CTA),Wizz Air,A321 (HA-LXE),,Estimated dep. 4:39 PM,Monday Mar 18,departures
aae,4:45 PM,W46649,Pisa (PSA),Wizz Air,A321 (HA-LXA),,Estimated dep. 4:59 PM,Monday Mar 18,departures
aae,5:10 PM,FR8356,Milan (BGY),Ryanair,B738 (9H-QBI),,Estimated dep. 5:25 PM,Monday Mar 18,departures
aae,5:30 PM,W46645,Madrid (MAD),Wizz Air,A321 (HA-LXV),,Estimated dep. 5:44 PM,Monday Mar 18,departures
aae,5:45 PM,W46613,Hamburg (HAM),Wizz Air,A321 (HA-LXK),,Estimated dep. 5:59 PM,Monday Mar 18,departures
aae,5:45 PM,5W7092,Abu Dhabi (AUH),Wizz Air,A21N (A6-WZB),,Estimated dep. 5:53 PM,Monday Mar 18,departures
aae,5:50 PM,W43865,Barcelona (BCN),Wizz Air,A320 (9H-WDC),,Estimated dep. 6:05 PM,Monday Mar 18,departures
aae,6:30 PM,A3973,Athens (ATH),Aegean Airlines,-,,Estimated dep. 6:30 PM,Monday Mar 18,departures
aae,7:25 PM,FR8399,Bologna (BLQ),Ryanair,B738 (9H-QCG),,Estimated dep. 7:40 PM,Monday Mar 18,departures
aae,7:35 PM,W43867,Cologne (CGN),Wizz Air,A21N (HA-LZK),,Estimated dep. 7:49 PM,Monday Mar 18,departures
aae,7:45 PM,FR8360,Rome (CIA),Ryanair,B738 (9H-QAN),,Estimated dep. 8:00 PM,Monday Mar 18,departures
aae,7:55 PM,W46691,Rome (FCO),Wizz Air,A320 (HA-LYK),,Estimated dep. 8:10 PM,Monday Mar 18,departures
aae,8:00 PM,RK8291,London (STN),Ryanair,B738 (G-RUKD),,Estimated dep. 8:15 PM,Monday Mar 18,departures
aae,8:10 PM,W46609,Milan (MXP),Wizz Air,A321 (HA-LXR),,Estimated dep. 8:24 PM,Monday Mar 18,departures
aae,8:20 PM,W94474,London (LTN),Wizz Air,A21N (G-WUKS),,Estimated dep. 8:34 PM,Monday Mar 18,departures
aae,8:30 PM,FR8370,Catania (CTA),Ryanair,B738 (9H-QCQ),,Estimated dep. 8:45 PM,Monday Mar 18,departures
aae,8:30 PM,W46647,Bari (BRI),Wizz Air,A321 (HA-LXY),,Estimated dep. 8:44 PM,Monday Mar 18,departures
aae,8:35 PM,W43847,Bologna (BLQ),Wizz Air,A321 (HA-LXE),,Estimated dep. 8:49 PM,Monday Mar 18,departures
aae,9:00 PM,W44817,Brindisi (BDS),Wizz Air,A321 (HA-LXB),,Estimated dep. 9:14 PM,Monday Mar 18,departures
aae,9:20 PM,W42882,Vienna (VIE),Wizz Air,A321 (HA-LXO),,Estimated dep. 9:34 PM,Monday Mar 18,departures
aae,9:25 PM,W43849,Verona (VRN),Wizz Air,A321 (HA-LXA),,Estimated dep. 9:39 PM,Monday Mar 18,departures
aae,9:50 PM,FR8391,Pisa (PSA),Ryanair,B738 (9H-QBV),,Estimated dep. 10:05 PM,Monday Mar 18,departures
aae,11:05 PM,W94472,London (LTN),Wizz Air,A21N (G-WUKZ),,Estimated dep. 11:19 PM,Monday Mar 18,departures
aae,2:20 AM,PC282,Istanbul (SAW),Pegasus,320,,Estimated dep. 4:00 AM,Tuesday Mar 19,departures
aae,5:35 AM,AZ507,Rome (FCO),ITA Airways,32S,,Estimated dep. 5:35 AM,Tuesday Mar 19,departures
aae,8:25 AM,FR8360,Rome (CIA),Ryanair,73H,,Estimated dep. 8:25 AM,Tuesday Mar 19,departures
aae,9:25 AM,FR8299,Brussels (CRL),Ryanair,73H,,Estimated dep. 9:25 AM,Tuesday Mar 19,departures
aae,10:00 AM,FR8418,Stockholm (ARN),Ryanair,73H,,Estimated dep. 10:00 AM,Tuesday Mar 19,departures
aae,10:15 AM,FR8350,Milan (BGY),Ryanair,73H,,Estimated dep. 10:15 AM,Tuesday Mar 19,departures
aae,10:15 AM,FR8314,Paris (BVA),Ryanair,7M8,,Estimated dep. 10:15 AM,Tuesday Mar 19,departures
aae,10:40 AM,RK8293,Manchester (MAN),Ryanair UK,73H,,Estimated dep. 10:40 AM,Tuesday Mar 19,departures
aae,11:10 AM,RK8289,London (STN),Ryanair UK,73H,,Estimated dep. 11:10 AM,Tuesday Mar 19,departures
aae,3:45 PM,AZ585,Rome (FCO),ITA Airways,32N,,Estimated dep. 3:45 PM,Tuesday Mar 19,departures
aae,8:40 PM,RK8291,London (STN),Ryanair UK,73H,,Estimated dep. 8:40 PM,Tuesday Mar 19,departures
aae,10:05 PM,FR8356,Milan (BGY),Ryanair,73H,,Estimated dep. 10:05 PM,Tuesday Mar 19,departures
aae,1:10 AM,W46616,Frankfurt (HHN),Wizz Air Malta,321,,Unknown,Sunday Mar 17,arrivals
aae,5:57 AM,,Budapest (BUD),Wizz Air,A21N (HA-LZK),,Landed 5:48 AM,Sunday Mar 17,arrivals
aae,7:35 AM,W46606,Catania (CTA),Wizz Air,A21N (9H-WDR),,Landed 7:18 AM,Sunday Mar 17,arrivals
aae,8:40 AM,FR8398,Bologna (BLQ),Ryanair,B738 (9H-QCY),,Landed 8:21 AM,Sunday Mar 17,arrivals
aae,8:45 AM,W63880,Warsaw (WAW),Wizz Air,A321 (HA-LTE),,Landed 8:25 AM,Sunday Mar 17,arrivals
aae,8:55 AM,LX1442,Zurich (ZRH),Swiss,BCS1 (HB-JBA),,Landed 8:37 AM,Sunday Mar 17,arrivals
aae,9:05 AM,A3970,Athens (ATH),Aegean Airlines,-,,Unknown,Sunday Mar 17,arrivals
aae,9:20 AM,FR8298,Brussels (CRL),Ryanair,B738 (EI-EVT),,Landed 8:52 AM,Sunday Mar 17,arrivals
aae,9:40 AM,FR8355,Milan (BGY),Ryanair,B738 (9H-QEF),,Landed 9:49 AM,Sunday Mar 17,arrivals
aae,9:55 AM,W43858,Rome (FCO),Wizz Air,A321 (HA-LXK),,Landed 9:45 AM,Sunday Mar 17,arrivals
aae,10:25 AM,RK8288,London (STN),Ryanair,B738 (G-RUKE),,Landed 10:08 AM,Sunday Mar 17,arrivals
aae,10:40 AM,W43846,Milan (BGY),Wizz Air,A321 (HA-LXR),,Landed 10:18 AM,Sunday Mar 17,arrivals
aae,10:40 AM,W43852,Venice (TSF),Wizz Air,A321 (HA-LXY),,Landed 10:21 AM,Sunday Mar 17,arrivals
aae,10:55 AM,W43854,Pisa (PSA),Wizz Air,A321 (HA-LXV),,Landed 10:57 AM,Sunday Mar 17,arrivals
aae,11:00 AM,W46608,Milan (MXP),Wizz Air,A321 (HA-LXE),,Landed 10:32 AM,Sunday Mar 17,arrivals
aae,11:25 AM,FZ745,Dubai (DXB),flydubai,B38M (A6-FMI),,Landed 11:28 AM,Sunday Mar 17,arrivals
aae,11:35 AM,FR8332,Weeze (NRN),Ryanair,B738 (9H-QBY),,Landed 11:03 AM,Sunday Mar 17,arrivals
aae,11:35 AM,W46604,Turin (TRN),Wizz Air,A320 (9H-WZW),,Landed 11:39 AM,Sunday Mar 17,arrivals
